usd_gain,reward,PL_ratio,PL_count_mean,hold_ratio,slope_indicator,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-317.9,-3024.6943,0.533,1.838,0.431,1.0,0.0067,0.335,0.465,10,12,195,1.723
-377.26,-3018.751,0.967,0.829,1.111,1.0,0.0018,0.372,0.339,28,48,11,3.183
-369.21,-3018.5385,0.441,2.099,0.337,1.0,0.0083,0.018,0.12,10,30,183,7.419
-371.54,-2978.7807,0.486,1.795,0.443,1.0,0.0075,0.243,0.131,9,20,314,3.517
-398.27,-2957.4585,20.2,0.04,3.11,1.0,0.0001,0.672,0.461,26,187,40,1.458
-338.52,-2941.5024,0.425,2.119,0.359,1.0,0.0128,0.161,0.017,18,29,397,4.653
-364.79,-2936.5794,1.973,0.408,2.002,1.0,0.0013,0.204,0.817,6,20,210,2.618
-339.87,-2934.7803,0.553,1.575,0.585,1.0,0.0031,0.167,0.232,4,36,166,3.216
-318.8,-2933.3013,1.791,0.459,4.13,1.0,0.0009,0.047,0.007,21,338,2,6.715
-372.54,-2927.2402,5.661,0.137,4.821,1.0,0.0005,0.031,0.235,8,363,306,7.027
-344.42,-2924.0257,7.817,0.106,6.845,1.0,0.0003,0.417,0.344,0,303,329,1.113
-313.6,-2915.1555,1.297,0.644,1.72,1.0,0.0012,0.01,0.116,21,65,58,6.101
-356.09,-2903.7731,0.865,0.953,1.084,1.0,0.0018,0.916,0.099,29,110,350,1.115
-361.9,-2882.2924,5.374,0.145,4.002,1.0,0.0005,0.449,0.906,19,96,167,2.273
-371.15,-2880.0235,9.272,0.088,6.242,1.0,0.0003,0.543,0.576,27,347,35,1.383
-356.59,-2877.9451,0.402,2.173,0.325,1.0,0.0125,0.02,0.639,16,128,315,1.042
-325.78,-2866.1321,0.543,1.598,0.586,1.0,0.0029,0.06,0.074,8,137,29,6.673
-295.6,-2865.3541,0.544,1.757,0.434,1.0,0.0127,0.307,0.31,1,8,224,2.182
-360.88,-2861.4067,0.476,1.879,0.456,1.0,0.0108,0.977,0.599,1,14,428,1.083
-356.0,-2827.1554,11.828,0.07,4.95,1.0,0.0002,0.282,0.114,1,231,378,3.255
-356.48,-2818.4603,8.625,0.095,5.299,1.0,0.0003,0.554,0.541,9,151,57,1.353
-312.16,-2796.7671,0.477,1.961,0.412,1.0,0.0094,0.174,0.165,24,86,478,2.853
-307.49,-2792.6273,0.241,3.813,0.218,1.0,0.0093,0.061,0.034,8,335,202,1.273
-315.29,-2784.6973,2.231,0.376,3.494,1.0,0.0008,0.174,0.133,2,362,143,1.908
-329.12,-2775.53,4.699,0.178,4.415,1.0,0.0005,0.153,0.705,21,106,266,1.457
-330.31,-2773.6813,2.446,0.343,2.983,1.0,0.0008,0.158,0.109,21,101,456,3.617
-322.26,-2751.9991,0.218,4.357,0.206,1.0,0.0132,0.045,0.05,16,438,162,1.579
-340.55,-2751.6854,0.442,2.062,0.378,1.0,0.0062,0.09,0.24,29,43,214,3.353
-369.9,-2740.9773,0.57,1.52,0.547,1.0,0.0092,0.883,0.234,16,54,167,1.587
-407.13,-2737.0048,3.26,0.24,3.361,1.0,0.0009,0.212,0.879,16,442,10,2.178
-352.36,-2727.1342,0.475,1.934,0.376,1.0,0.015,0.159,0.146,25,22,140,4.385
-380.88,-2717.6142,16.304,0.049,5.875,1.0,0.0002,0.354,0.716,3,96,129,3.526
-313.09,-2713.9019,0.789,1.242,0.733,1.0,0.0122,0.024,0.591,19,21,268,1.844
-350.79,-2703.5397,5.301,0.149,4.002,1.0,0.0004,0.706,0.06,8,393,58,2.026
-325.9,-2685.4857,0.316,2.741,0.26,1.0,0.011,0.045,0.226,9,39,352,1.326
-358.19,-2662.1571,0.994,0.784,1.12,1.0,0.0018,0.106,0.22,8,189,315,3.874
-348.21,-2658.9151,0.905,0.898,1.026,1.0,0.0019,0.681,0.611,22,50,160,1.274
-388.04,-2630.6618,0.971,0.787,1.261,1.0,0.0019,0.606,0.236,8,308,462,1.413
-407.04,-2606.2949,0.581,1.468,0.522,1.0,0.0112,0.224,0.272,13,53,326,4.085
-322.64,-2603.4706,1.764,0.468,1.685,1.0,0.0012,0.195,0.772,0,16,212,1.832
-270.28,-2580.4537,0.35,2.536,0.486,1.0,0.0035,0.029,0.078,4,102,474,2.498
-345.09,-2572.1254,0.478,1.924,0.397,1.0,0.0065,0.08,0.682,12,30,172,1.556
-313.37,-2566.6423,0.5,1.817,0.468,1.0,0.0041,0.253,0.433,28,36,241,1.758
-261.86,-2560.4327,0.315,2.916,0.381,1.0,0.0045,0.078,0.038,18,74,355,1.635
-342.39,-2538.3809,5.618,0.15,4.441,1.0,0.0005,0.292,0.55,30,160,21,2.963
-318.9,-2531.0885,0.578,1.631,0.556,1.0,0.0038,0.144,0.146,6,23,71,6.438
-304.77,-2527.4525,0.351,2.49,0.318,1.0,0.0071,0.351,0.016,8,137,466,1.428
-319.29,-2524.6498,0.837,0.965,1.825,1.0,0.0018,0.167,0.037,23,312,263,1.672
-353.08,-2523.2795,4.209,0.198,4.68,1.0,0.0006,0.406,0.044,22,325,87,3.02
-328.71,-2517.2774,8.781,0.098,5.124,1.0,0.0003,0.276,0.275,23,165,341,3.204
-393.24,-2507.5036,0.57,1.482,0.559,1.0,0.0081,0.949,0.73,8,59,114,1.158
-346.57,-2502.9256,6.527,0.125,5.923,1.0,0.0004,0.471,0.086,18,330,86,2.267
-264.74,-2481.6732,2.16,0.377,2.445,1.0,0.0008,0.153,0.25,14,3,393,2.876
-371.15,-2477.8338,0.518,1.634,0.494,1.0,0.0096,0.217,0.139,8,63,478,4.387
-352.3,-2468.1405,1.252,0.659,1.535,1.0,0.002,0.082,0.3,19,41,382,6.56
-364.37,-2458.71,3.371,0.24,3.17,1.0,0.0009,0.157,0.7,1,68,215,3.051
-329.6,-2439.7358,2.536,0.322,2.838,1.0,0.0009,0.006,0.688,28,197,15,2.175
-362.03,-2425.1928,3.263,0.246,4.041,1.0,0.0008,0.1,0.089,28,367,267,7.635
-297.3,-2422.0744,0.907,0.916,1.3,1.0,0.0016,0.297,0.192,11,64,62,1.633
-357.38,-2411.7531,5.584,0.145,4.852,1.0,0.0006,0.229,0.841,3,164,120,2.645
-341.12,-2407.2828,1.928,0.422,2.378,1.0,0.0011,0.195,0.381,10,174,311,1.988
-322.0,-2397.6309,1.411,0.577,1.709,1.0,0.0013,0.333,0.721,28,164,97,1.031
-288.65,-2386.9376,4.893,0.177,4.667,1.0,0.0004,0.297,0.047,14,190,15,2.684
-352.0,-2385.5312,17.592,0.048,6.665,1.0,0.0002,0.199,0.916,20,335,387,2.198
-322.51,-2371.2203,0.399,2.183,0.324,1.0,0.0078,0.081,0.474,7,75,41,1.611
-330.79,-2359.2272,0.378,2.445,0.273,1.0,0.0126,0.132,0.475,24,149,198,1.411
-286.27,-2355.8456,0.352,2.528,0.502,1.0,0.0042,0.115,0.029,19,277,251,2.193
-311.64,-2341.3333,0.479,1.763,0.602,1.0,0.0032,0.316,0.028,8,222,316,2.155
-357.72,-2337.0458,9.459,0.088,6.651,1.0,0.0004,0.164,0.592,22,181,22,4.623
-322.92,-2336.5383,0.525,1.718,0.511,1.0,0.0053,0.975,0.788,25,16,36,1.106
-331.66,-2333.2243,10.094,0.085,6.191,1.0,0.0003,0.164,0.303,27,227,242,4.156
-385.86,-2330.2353,3.92,0.203,3.843,1.0,0.0008,0.286,0.361,17,87,82,5.045
-284.46,-2325.1341,0.514,1.879,0.434,1.0,0.0139,0.868,0.661,18,13,296,1.092
-312.84,-2311.7358,5.388,0.154,4.076,1.0,0.0004,0.413,0.022,23,149,164,3.268
-379.73,-2311.0601,5.494,0.147,5.816,1.0,0.0006,0.494,0.218,6,302,340,2.682
-364.94,-2304.3295,4.062,0.191,3.717,1.0,0.0007,0.286,0.336,19,172,257,4.991
-343.75,-2301.9018,1.372,0.563,1.616,1.0,0.0013,0.238,0.024,8,261,268,4.863
-324.93,-2298.8884,0.268,3.442,0.233,1.0,0.0141,0.192,0.059,10,86,396,2.185
-297.94,-2282.3773,0.389,2.384,0.312,1.0,0.0144,0.434,0.158,20,41,149,1.494
-376.84,-2280.9479,0.515,1.659,0.466,1.0,0.0137,0.269,0.388,7,41,410,2.705
-296.48,-2280.3197,0.403,2.266,0.373,1.0,0.006,0.093,0.076,30,48,140,5.273
-366.52,-2273.1952,4.504,0.18,4.263,1.0,0.0007,0.55,0.809,22,123,8,2.523
-255.1,-2272.7731,0.715,1.401,0.578,1.0,0.0085,0.17,0.241,16,31,51,3.484
-317.93,-2260.0277,0.537,1.709,0.433,1.0,0.0089,0.064,0.572,16,85,59,1.787
-355.19,-2254.7401,0.518,1.648,0.473,1.0,0.0137,0.484,0.412,19,72,304,1.485
-341.23,-2248.0222,0.606,1.412,0.599,1.0,0.0055,0.519,0.349,19,55,365,1.979
-291.61,-2242.6887,0.489,1.859,0.444,1.0,0.014,0.43,0.106,3,17,71,2.374
-266.82,-2239.8487,0.27,3.483,0.27,1.0,0.0072,0.125,0.161,25,85,130,1.015
