reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.0549545,0.0028,0.294,0.931,18,4,723,11.123
-0.05488429,0.0074,0.48,0.996,25,8,641,13.757
-0.0548067,0.0061,0.279,0.964,24,8,819,14.097
-0.0547199,0.0139,0.468,0.97,27,11,568,13.213
-0.05451635,0.0085,0.464,0.977,28,16,784,13.532
-0.05441236,0.013,0.447,0.984,23,5,656,12.008
-0.05430903,0.0091,0.397,0.972,24,28,626,13.977
-0.05429393,0.0091,0.75,0.94,23,7,838,13.884
-0.05429039,0.0078,0.539,0.941,23,10,504,13.295
-0.05422796,0.0094,0.428,0.722,26,5,877,12.617
-0.05419058,0.0059,0.5,0.93,27,11,611,14.902
-0.05418531,0.0062,0.465,0.91,29,5,730,10.828
-0.05414722,0.0086,0.427,0.96,20,12,879,14.996
-0.0539688,0.0097,0.294,0.811,27,6,695,11.335
-0.05392272,0.0078,0.364,0.863,24,22,818,14.533
-0.05390545,0.0137,0.539,0.937,29,8,744,14.899
-0.05383611,0.0102,0.479,0.724,24,5,653,11.147
-0.05379871,0.01,0.222,0.982,24,11,739,12.986
-0.05358873,0.0028,0.294,0.93,18,4,548,11.123
-0.05342451,0.0089,0.477,0.861,22,6,606,12.221
-0.05332726,0.005,0.66,0.94,28,16,681,12.309
-0.05325687,0.0141,0.329,0.863,25,9,477,14.831
-0.05324477,0.0066,0.3,0.959,28,50,16,14.029
-0.05288341,0.0118,0.418,0.93,30,10,595,14.927
-0.05269717,0.0136,0.316,0.986,24,21,461,14.234
-0.0524796,0.0133,0.08,0.858,23,6,225,14.371
-0.05245974,0.0119,0.506,0.787,27,6,732,13.451
-0.05233252,0.0056,0.33,0.792,25,5,813,13.291
-0.05232427,0.012,0.582,0.784,30,19,736,14.632
-0.05223656,0.0051,0.542,0.933,30,11,734,12.405
-0.05206901,0.0137,0.643,0.995,1,6,755,13.318
-0.0519522,0.0089,0.549,0.901,29,7,857,13.576
-0.05193791,0.0089,0.477,0.91,22,6,616,11.428
-0.05187221,0.0097,0.431,0.958,24,51,754,14.119
-0.05181127,0.0052,0.353,0.959,29,37,628,12.454
-0.05179149,0.0118,0.418,0.908,29,15,839,13.417
-0.05174527,0.0085,0.464,0.902,30,5,784,12.963
-0.05153331,0.0078,0.272,0.923,22,9,825,13.056
-0.05146474,0.007,0.342,0.742,24,18,658,11.571
-0.05143476,0.0078,0.365,0.863,24,22,634,14.642
-0.05136747,0.0121,0.635,0.944,26,11,739,12.928
-0.05131344,0.0074,0.19,0.94,4,11,742,12.935
-0.05123036,0.0108,0.496,0.92,20,7,851,13.39
-0.05108673,0.0035,0.042,0.857,22,5,230,12.221
-0.05093768,0.0094,0.385,0.827,24,16,533,14.579
-0.05085019,0.0082,0.406,0.919,24,3,497,7.651
-0.05068379,0.0089,0.378,0.801,22,11,545,14.893
-0.05063209,0.0069,0.384,0.912,23,8,658,14.697
-0.05063202,0.0051,0.353,0.884,20,40,741,13.541
-0.05052191,0.0101,0.512,0.983,26,10,713,14.866
-0.05034688,0.0059,0.272,0.947,27,5,726,13.271
-0.05029474,0.0032,0.429,0.823,25,5,757,12.368
-0.05028394,0.0106,0.5,0.93,30,21,607,14.839
-0.05022045,0.0073,0.531,0.977,30,15,772,14.669
-0.05002921,0.0075,0.481,0.903,24,27,595,10.305
-0.05000823,0.009,0.409,0.996,24,23,558,12.004
-0.04998319,0.012,0.427,0.956,30,10,759,14.727
-0.04997863,0.0081,0.306,0.979,22,14,580,14.334
-0.04995333,0.0101,0.509,0.723,23,6,451,14.395
-0.04993868,0.0138,0.448,0.917,23,5,622,12.036
-0.04975534,0.0094,0.473,0.765,26,11,714,14.77
-0.04974252,0.0077,0.432,0.827,24,20,739,14.182
-0.04967655,0.0134,0.481,0.999,29,19,654,14.45
-0.04955813,0.0092,0.503,0.856,24,16,761,13.582
-0.04951259,0.0073,0.092,0.833,28,7,210,12.104
-0.04945428,0.0119,0.397,0.853,24,16,878,13.566
-0.04941715,0.0038,0.334,0.781,25,6,679,12.663
-0.04923092,0.0072,0.445,0.687,24,12,611,11.044
-0.04917781,0.0078,0.382,0.821,24,16,622,14.169
-0.04917002,0.0021,0.268,0.974,22,6,481,14.102
-0.04908107,0.007,0.272,0.964,20,8,743,14.097
-0.04907124,0.0056,0.484,0.852,29,15,513,13.611
-0.04895386,0.0068,0.402,0.994,24,27,595,12.493
-0.04891815,0.0078,0.58,0.941,26,10,763,13.295
-0.04881144,0.0106,0.545,0.92,24,99,790,14.174
-0.04878625,0.0144,0.346,0.778,24,8,650,13.876
-0.04877283,0.0092,0.549,0.903,23,5,832,14.031
-0.0487307,0.0028,0.275,0.884,26,2,523,10.808
-0.04869841,0.0086,0.446,0.975,23,4,604,11.468
-0.04863025,0.0044,0.218,0.987,16,8,975,9.99
-0.04861404,0.0079,0.233,0.752,25,4,271,12.465
-0.04860292,0.0092,0.399,0.856,24,16,599,13.899
-0.04858857,0.0086,0.427,0.754,20,12,879,14.998
-0.04838318,0.0134,0.272,0.964,24,11,839,14.097
-0.04837236,0.0135,0.067,0.903,16,18,750,14.117
